Reaction	Count
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]']	17
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	15
['[Li][O]1[Li][O]2[Li][O][C]12'] -> ['[Li]1[O]2[Li][O]3[Li][O]1[C]23']	15
['[Li]1[O]2[Li][O]3[Li][O]1[C]23'] -> ['[Li][O]1[Li][O]2[Li][O][C]12']	15
['[Li]1[O][C]23[O][Li]2[O]13'] -> ['[Li][O]1[Li]2[O][C]21[O]']	13
['[Li][O][C]([O])=[O]'] -> ['[Li][O][C]([O])[O]']	13
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]']	13
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li][O][C]1[O][Li][O]1']	13
['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	13
['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1']	12
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O])[O][C]12([H])[H]']	12
['[H][C]1([H])[O][C]2([O])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]']	12
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][O]1'] -> ['[H][C]([H])[C]([H])[H]', '[O][C]1[O][Li][O]1']	11
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]1[O][C]2[O][Li][O]12']	10
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H][Li]']	10
['[Li][O][C]([O])[O]'] -> ['[Li][O][C]([O])=[O]']	10
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	10
