Reaction	Count
['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]']	2
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O][Li][Li])[O][C]12([H])[H]']	2
['[H][C]1([H])[O][C]2([O][Li][Li])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	2
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li]1[O][C]2[O][Li][O]12']	2
['[Li][O]1[Li][O][C]1[O]'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	2
['[H][C]1([H])[O][C]([O][Li][O]=[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O][C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	2
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]2([O]([Li])[Li])[O][C]12([H])[H]']	2
['[Li][O][C]1[O][Li][O]1[Li]'] -> ['[Li][O]1[Li][O]2[Li][O][C]12']	2
['[Li]1[O][C]23[O][Li]2[O]13'] -> ['[Li]1[O][C]2=[O][Li][O]12']	2
['[H][C]1([H])[O][C]([O][Li]2[O][C]34[O][Li]3[O]24)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li]1[O][C]23[O][Li]2[O]13']	2
['[Li]1[O][C]2[O][Li][O]12'] -> ['[Li]1[O][C]2=[O][Li][O]12']	2
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li]1[O][C]23[O][Li]2[O]13'] -> ['[H][C]1([H])[O][C]([O][Li]2[O][C]34[O][Li]3[O]24)[O][C]1([H])[H]']	2
['[O][C]12[O][Li]13[Li][O]32'] -> ['[O]=[C]12[O][Li]13[Li][O]32']	2
