
# production run
fix		1 all nvt temp 330.0 330.0 10
fix 		2 all reaxff/species 1 2 20 species_R3_main.out cutoff 1 1 0.3 cutoff 1 2 0.3 cutoff 1 4 0.3 		cutoff 2 2 0.3 cutoff 2 4 0.3 cutoff 4 4 0.3 cutoff 3 3 0.8 cutoff 3 4 0.55 cutoff 3 1*2 0.3
WARNING: Resetting reneighboring criteria to 'delay 0 every 2 check no' due to fix reaxff/species averaging of bond data (src/REAXFF/fix_reaxff_species.cpp:128)
timestep	0.1
run		25000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Per MPI rank memory allocation (min/avg/max) = 33.5 | 34.09 | 34.73 Mbytes
   Step          Temp          PotEng         KinEng         Press          Volume        Density    
      5800   353.84459     -69480.451      673.9811       121.35806      42875          0.40123665   
      5900   325.0244      -69493.968      619.0862      -620.55584      42875          0.40123665   
      6000   301.27853     -69509.328      573.85656     -1672.7232      42875          0.40123665   
      6100   324.58694     -69544.493      618.25297     -1104.21        42875          0.40123665   
      6200   338.25592     -69535.976      644.28878     -539.43666      42875          0.40123665   
      6300   337.27378     -69530.681      642.41805     -391.61223      42875          0.40123665   
      6400   330.10417     -69544.086      628.76183      130.14148      42875          0.40123665   
      6500   319.12562     -69543.989      607.85057     -1513.8768      42875          0.40123665   
      6600   316.85322     -69525.052      603.52225      1404.9731      42875          0.40123665   
      6700   341.34802     -69521.797      650.17841     -962.92706      42875          0.40123665   
      6800   349.67967     -69521.497      666.04802      1166.7163      42875          0.40123665   
      6900   336.73025     -69545.91       641.38278     -0.61618868     42875          0.40123665   
      7000   320.59675     -69563.441      610.65269     -176.04717      42875          0.40123665   
      7100   339.80349     -69614.902      647.23649     -1475.8771      42875          0.40123665   
      7200   331.07821     -69623.018      630.61712      1707.6297      42875          0.40123665   
      7300   317.56675     -69618.94       604.88134      1249.9577      42875          0.40123665   
      7400   326.7458      -69633.48       622.36501     -441.97162      42875          0.40123665   
      7500   337.56163     -69634.703      642.96634     -1429.7607      42875          0.40123665   
      7600   339.98078     -69630.013      647.57418      3.5712196      42875          0.40123665   
      7700   330.01597     -69631.506      628.59383     -486.93183      42875          0.40123665   
      7800   314.63653     -69622.892      599.30004      928.36655      42875          0.40123665   
      7900   328.62567     -69638.448      625.94568      2217.3406      42875          0.40123665   
      8000   342.84439     -69658.578      653.0286       862.80361      42875          0.40123665   
      8100   317.55        -69636.703      604.84944     -253.30439      42875          0.40123665   
      8200   322.12196     -69649.373      613.55782     -1255.5715      42875          0.40123665   
      8300   340.27898     -69653.243      648.14218     -347.00815      42875          0.40123665   
      8400   356.57183     -69682.104      679.17578     -1091.979       42875          0.40123665   
      8500   322.22705     -69683.612      613.75798      1566.8845      42875          0.40123665   
      8600   315.72282     -69699.22       601.36914     -564.00221      42875          0.40123665   
      8700   310.5748      -69648.617      591.5635      -885.47055      42875          0.40123665   
      8800   356.68242     -69659.181      679.38642     -459.02038      42875          0.40123665   
      8900   367.73649     -69664.599      700.44152     -530.10032      42875          0.40123665   
      9000   332.43053     -69678.323      633.19294     -424.06101      42875          0.40123665   
      9100   308.99641     -69687.974      588.55709      296.91226      42875          0.40123665   
      9200   311.95574     -69683.879      594.19383     -990.61533      42875          0.40123665   
      9300   335.61354     -69671.063      639.25574     -929.52139      42875          0.40123665   
      9400   349.06486     -69664.325      664.87696     -435.45062      42875          0.40123665   
      9500   336.15785     -69680.619      640.29251     -551.69407      42875          0.40123665   
      9600   328.67769     -69741.748      626.04476     -179.2047       42875          0.40123665   
      9700   320.9358      -69770.266      611.2985      -2534.0547      42875          0.40123665   
      9800   321.42606     -69776.638      612.23231     -176.72416      42875          0.40123665   
      9900   337.60624     -69793.13       643.05131      143.03331      42875          0.40123665   
     10000   343.962       -69828.005      655.15737     -2528.9432      42875          0.40123665   
     10100   312.90202     -69815.8        595.99626     -187.57813      42875          0.40123665   
     10200   320.69097     -69826.375      610.83216     -1456.9858      42875          0.40123665   
     10300   336.59833     -69821.969      641.13149      359.40766      42875          0.40123665   
     10400   345.80422     -69843.356      658.66632     -731.35856      42875          0.40123665   
     10500   332.3814      -69872.21       633.09936     -869.38503      42875          0.40123665   
     10600   319.60945     -69883.484      608.77214      61.610558      42875          0.40123665   
     10700   321.49416     -69896.402      612.36202      707.88541      42875          0.40123665   
     10800   331.40823     -69905.012      631.24572     -556.97304      42875          0.40123665   
     10900   334.98525     -69894.478      638.05901      1357.8153      42875          0.40123665   
     11000   328.35071     -69890.261      625.42196      309.88929      42875          0.40123665   
     11100   335.47648     -69926.209      638.99467      2015.9223      42875          0.40123665   
     11200   318.00284     -69925.47       605.71197      701.94291      42875          0.40123665   
     11300   322.00567     -69915.146      613.33631      668.83464      42875          0.40123665   
     11400   342.89567     -69907.218      653.12628      800.02287      42875          0.40123665   
     11500   341.49011     -69925.909      650.44905      1344.5089      42875          0.40123665   
     11600   330.27262     -69943.59       629.08269      1233.3143      42875          0.40123665   
     11700   325.3597      -69944.914      619.72486      1054.6034      42875          0.40123665   
     11800   332.06488     -69948.878      632.49646      834.25315      42875          0.40123665   
     11900   339.57284     -69929.344      646.79717      1415.8644      42875          0.40123665   
     12000   353.20241     -69926.932      672.75792      2646.9337      42875          0.40123665   
     12100   331.02455     -69939.113      630.51492      776.10829      42875          0.40123665   
     12200   328.75819     -69955.775      626.1981      -948.34951      42875          0.40123665   
     12300   326.74613     -69948.563      622.36564     -470.76513      42875          0.40123665   
     12400   335.34886     -69947.674      638.75159      488.10502      42875          0.40123665   
     12500   340.61172     -69938.946      648.77597      95.649047      42875          0.40123665   
     12600   336.65007     -69953.436      641.23005     -534.26524      42875          0.40123665   
     12700   329.2493      -69982.444      627.13353      11.568221      42875          0.40123665   
     12800   328.45046     -69993.852      625.61194      186.52166      42875          0.40123665   
     12900   325.30613     -69983.598      619.62283      180.85754      42875          0.40123665   
     13000   357.91009     -70016.839      681.72482     -119.80398      42875          0.40123665   
     13100   339.78001     -70036.567      647.19178      1060.7119      42875          0.40123665   
     13200   329.12998     -70049.673      626.90625      1373.187       42875          0.40123665   
     13300   322.2907      -70050.949      613.87922     -54.438582      42875          0.40123665   
     13400   336.43839     -70075.685      640.82687      276.32433      42875          0.40123665   
     13500   332.35622     -70054.358      633.0514      -309.03542      42875          0.40123665   
     13600   347.34964     -70052.471      661.60994     -35.626256      42875          0.40123665   
     13700   327.75772     -70029.885      624.29246     -132.41614      42875          0.40123665   
     13800   325.84747     -70063.716      620.65393      1223.889       42875          0.40123665   
     13900   319.33862     -70063.147      608.25628     -196.48312      42875          0.40123665   
     14000   331.1238      -70039.984      630.70397     -764.21212      42875          0.40123665   
     14100   347.11393     -70043.136      661.16097     -38.445366      42875          0.40123665   
     14200   331.9402      -70049.219      632.25899     -695.52038      42875          0.40123665   
     14300   315.53979     -70036.496      601.02051     -984.58756      42875          0.40123665   
     14400   322.62702     -70013.327      614.51983     -314.02585      42875          0.40123665   
     14500   332.94304     -70015.902      634.16914     -355.49823      42875          0.40123665   
     14600   328.13555     -70012.176      625.01214     -731.16479      42875          0.40123665   
     14700   311.9239      -69996.78       594.13318      712.29615      42875          0.40123665   
     14800   326.03658     -69991.017      621.01415     -417.36844      42875          0.40123665   
     14900   356.83994     -70017.584      679.68645     -1582.8994      42875          0.40123665   
     15000   323.82323     -69994.08       616.79829     -2088.577       42875          0.40123665   
     15100   332.45623     -70035.375      633.24188     -769.80698      42875          0.40123665   
     15200   326.89491     -70051.619      622.64904     -1924.1583      42875          0.40123665   
     15300   324.52335     -70054.707      618.13183     -2227.1834      42875          0.40123665   
     15400   343.44967     -70112.681      654.18151     -498.20409      42875          0.40123665   
     15500   321.61073     -70123.631      612.58406     -333.01121      42875          0.40123665   
     15600   318.32585     -70107.089      606.32722     -1282.8382      42875          0.40123665   
     15700   337.65123     -70109.698      643.13699     -683.80297      42875          0.40123665   
     15800   330.98871     -70074.984      630.44664     -1407.1937      42875          0.40123665   
     15900   331.62368     -70057.254      631.6561      -2605.3014      42875          0.40123665   
     16000   339.85276     -70045.4        647.33033     -1011.7353      42875          0.40123665   
     16100   355.34101     -70055.047      676.83139      128.90848      42875          0.40123665   
     16200   333.23866     -70068.474      634.73221     -1230.7316      42875          0.40123665   
     16300   317.88472     -70063.171      605.48698     -295.71921      42875          0.40123665   
     16400   326.68443     -70071.422      622.24812     -152.95619      42875          0.40123665   
     16500   349.39544     -70100.325      665.50663     -259.86674      42875          0.40123665   
     16600   324.38383     -70105.074      617.86608     -210.71488      42875          0.40123665   
     16700   328.24911     -70124.361      625.22843      1779.8932      42875          0.40123665   
     16800   338.80719     -70152.776      645.3388       2125.073       42875          0.40123665   
     16900   341.55714     -70195.572      650.57674      1316.3439      42875          0.40123665   
     17000   322.77946     -70191.749      614.81018      1441.1538      42875          0.40123665   
     17100   330.01024     -70197.907      628.58291      2182.7324      42875          0.40123665   
     17200   340.61231     -70204.948      648.77707      560.67656      42875          0.40123665   
     17300   344.48549     -70230.525      656.15448      85.620897      42875          0.40123665   
     17400   326.68971     -70255.228      622.25818      511.41863      42875          0.40123665   
     17500   317.41274     -70234.373      604.58798      1077.3232      42875          0.40123665   
     17600   331.51932     -70230.087      631.45733      550.45217      42875          0.40123665   
     17700   333.19289     -70203.149      634.64504      2317.7846      42875          0.40123665   
     17800   337.61698     -70209.82       643.07177     -1600.2596      42875          0.40123665   
     17900   323.24743     -70218.763      615.70154      531.13099      42875          0.40123665   
     18000   321.30618     -70216.478      612.00396     -214.84156      42875          0.40123665   
     18100   327.48442     -70220.465      623.7719      -566.62234      42875          0.40123665   
     18200   338.93039     -70218.705      645.57347     -80.273739      42875          0.40123665   
     18300   348.37656     -70241.716      663.56595      1629.7952      42875          0.40123665   
     18400   326.52354     -70253.672      621.94166     -580.09805      42875          0.40123665   
     18500   325.77277     -70253.749      620.51165     -563.11097      42875          0.40123665   
     18600   318.39654     -70222.815      606.46187     -1070.1217      42875          0.40123665   
     18700   344.79595     -70234.99       656.74582     -223.39675      42875          0.40123665   
     18800   329.39448     -70215.229      627.41006     -191.57115      42875          0.40123665   
     18900   327.63447     -70246.914      624.0577       445.97817      42875          0.40123665   
     19000   304.41463     -70258.39       579.83        -324.81037      42875          0.40123665   
     19100   299.44798     -70240.733      570.36983     -497.10269      42875          0.40123665   
     19200   326.30704     -70256.635      621.5293      -1247.6226      42875          0.40123665   
     19300   336.59773     -70247.827      641.13036      66.168842      42875          0.40123665   
     19400   346.07146     -70261.351      659.17534      2594.416       42875          0.40123665   
     19500   331.20082     -70277.791      630.85066      69.866705      42875          0.40123665   
     19600   335.00384     -70300.538      638.09441      466.01009      42875          0.40123665   
     19700   335.73051     -70327.516      639.47854     -754.83705      42875          0.40123665   
     19800   321.22779     -70326.659      611.85465      194.26097      42875          0.40123665   
     19900   336.9876      -70344.818      641.87295      1348.0119      42875          0.40123665   
     20000   319.97602     -70311.402      609.47037     -119.83053      42875          0.40123665   
     20100   347.11289     -70346.875      661.15899     -442.62668      42875          0.40123665   
     20200   319.30837     -70314.372      608.19866      383.30263      42875          0.40123665   
     20300   309.57068     -70337.736      589.65092      184.05052      42875          0.40123665   
     20400   325.02108     -70333.155      619.07987      1491.135       42875          0.40123665   
     20500   340.27894     -70330.336      648.1421       378.96233      42875          0.40123665   
     20600   347.7771      -70370.351      662.42413      457.0689       42875          0.40123665   
     20700   333.56746     -70390.179      635.3585      -406.40395      42875          0.40123665   
     20800   319.07687     -70377.947      607.75771     -451.39728      42875          0.40123665   
     20900   325.65667     -70382.544      620.29052     -579.91698      42875          0.40123665   
     21000   344.11032     -70385.519      655.43988      348.73261      42875          0.40123665   
     21100   355.04725     -70401.958      676.27185      1662.1253      42875          0.40123665   
     21200   341.77786     -70444.919      650.99715     -471.8459       42875          0.40123665   
     21300   324.55769     -70447.046      618.19724      296.43158      42875          0.40123665   
     21400   314.52517     -70460.294      599.08793     -817.0182       42875          0.40123665   
     21500   328.31725     -70475.892      625.35822     -1174.6645      42875          0.40123665   
     21600   336.45979     -70455.225      640.86762      1969.5957      42875          0.40123665   
     21700   346.49725     -70485          659.98634      2259.6504      42875          0.40123665   
     21800   337.04705     -70502.655      641.9862       408.09172      42875          0.40123665   
     21900   323.99908     -70486.228      617.13323      478.89315      42875          0.40123665   
     22000   327.71724     -70477.5        624.21535      288.78467      42875          0.40123665   
     22100   329.70925     -70452.855      628.00962      206.25524      42875          0.40123665   
     22200   346.24734     -70481.778      659.51034     -217.21357      42875          0.40123665   
     22300   334.23871     -70526.11       636.63705     -763.30415      42875          0.40123665   
     22400   309.08042     -70491.584      588.71709     -1730.5427      42875          0.40123665   
     22500   324.43095     -70484.758      617.95584     -2443.9028      42875          0.40123665   
     22600   347.28074     -70490.302      661.47868     -1646.1552      42875          0.40123665   
     22700   342.6138      -70499.505      652.58939      899.48513      42875          0.40123665   
     22800   334.99833     -70515.168      638.08391      1297.1987      42875          0.40123665   
     22900   332.34992     -70523.831      633.03939     -306.30706      42875          0.40123665   
     23000   325.88151     -70521.781      620.71878      1052.2422      42875          0.40123665   
     23100   330.30448     -70529.991      629.14338      1138.158       42875          0.40123665   
     23200   338.05809     -70510.173      643.91196      2499.2125      42875          0.40123665   
     23300   347.57491     -70520.527      662.039       -11.14275       42875          0.40123665   
     23400   321.18751     -70505.841      611.77793     -2381.1935      42875          0.40123665   
     23500   314.59977     -70504.055      599.23001     -630.82367      42875          0.40123665   
     23600   331.5208      -70505.518      631.46014      900.95093      42875          0.40123665   
     23700   341.80865     -70490.151      651.0558      -1338.3997      42875          0.40123665   
     23800   333.12708     -70502.394      634.51969     -2357.2745      42875          0.40123665   
     23900   319.64978     -70515.835      608.84896     -1209.0081      42875          0.40123665   
     24000   326.64765     -70522.707      622.17808     -1575.4005      42875          0.40123665   
     24100   326.06752     -70505.973      621.07306      1580.5906      42875          0.40123665   
     24200   348.36208     -70518.211      663.53836      123.44386      42875          0.40123665   
     24300   344.82647     -70523.226      656.80395      484.51634      42875          0.40123665   
     24400   326.27969     -70537.72       621.47721     -608.43453      42875          0.40123665   
     24500   329.28078     -70537.235      627.1935       1167.1851      42875          0.40123665   
     24600   343.24021     -70547.566      653.78255      722.18735      42875          0.40123665   
     24700   333.02004     -70560.022      634.31579      454.07407      42875          0.40123665   
     24800   308.09559     -70544.77       586.84125      1392.2556      42875          0.40123665   
     24900   323.44821     -70554.48       616.08398     -2759.8708      42875          0.40123665   
     25000   338.39633     -70571.018      644.55622      496.34397      42875          0.40123665   
Loop time of 225.929 on 6 procs for 25000 steps with 640 atoms

Performance: 0.956 ns/day, 25.103 hours/ns, 110.654 timesteps/s, 70.819 katom-step/s
99.3% CPU use with 6 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 105.96     | 123.48     | 145.63     | 140.9 | 54.66
Neigh   | 29.819     | 32.039     | 34.859     |  34.7 | 14.18
Comm    | 14.054     | 36.102     | 53.491     | 260.1 | 15.98
Output  | 0.083894   | 0.15596    | 0.23777    |  13.4 |  0.07
Modify  | 31.266     | 34.039     | 36.465     |  34.4 | 15.07
Other   |            | 0.1098     |            |       |  0.05

Nlocal:        106.667 ave         139 max          83 min
Histogram: 1 0 1 2 0 1 0 0 0 1
Nghost:        1247.17 ave        1302 max        1216 min
Histogram: 1 2 0 0 2 0 0 0 0 1
Neighs:           9347 ave       13123 max        6974 min
Histogram: 2 1 0 1 0 0 0 1 0 1

Total # of neighbors = 56082
Ave neighs/atom = 87.628125
Neighbor list builds = 12500
Dangerous builds not checked
unfix		1
unfix		2

#--------------------------------------
# Data dump
#--------------------------------------

write_data	EC_Li_60_40_nvt_300K_R3.dat
System init for write_data ...
write_restart   EC_Li_60_40_nvt_300K_R3.rest
System init for write_restart ...
Total wall time: 0:03:46
