Reaction	Count
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O][Li][Li])[O][C]12([H])[H]']	12
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H][Li]']	11
['[Li][O][C]([O])=[O]'] -> ['[Li][O][C]([O])[O]']	11
['[H][C]1([H])[O][C]([O][Li][O]2[C](=[O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]', '[H][C]1([H])[O][C]([O])[O][C]1([H])[H]']	11
['[H][C]1([H])[O][C]([O][Li][O]2[C](=[O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]2[C]([O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]']	11
['[H][C]1([H])[O][C]([O][Li][O]2[C]([O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]2[C](=[O])[O][C]([H])([H])[C]2([H])[H])[O][C]1([H])[H]']	11
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][Li]']	10
['[Li][O]([Li])[C]=[O]'] -> ['[Li][O]([Li])[C][O]']	10
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]']	10
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][Li]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	9
['[O]=[C]12[O][Li]1[O]2'] -> ['[O][C]1[O][Li][O]1']	9
['[Li][O]1[Li][O]2[Li]3[O][C]312'] -> ['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423']	9
['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]23[O][C]([H])([H])[C]2([H])([H])[O]3)[O][C]1([H])[H]']	9
['[H][C]1([H])[O]([Li])[C]2(=[O])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	9
['[Li][O]1[Li][O][C]1=[O]'] -> ['[Li][O]1[Li][O][C]1[O]']	9
['[Li][O]([Li])[C][O]'] -> ['[Li][O]([Li])[C]=[O]']	8
['[Li][O]1[Li][O][C]1[O]'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	8
['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]23[O][C]([H])([H])[C]2([H])([H])[O]3)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li][O]([Li])[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]']	8
['[O][C]1[O][Li][O]1'] -> ['[O]=[C]12[O][Li]1[O]2']	8
['[H][C]1([H])[O][C](=[O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	8
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]1[O][C]23[O][Li]2[O]13']	8
['[Li][O]1[Li]2[O][C]21[O]'] -> ['[Li][O]1[Li][O][C]1[O]']	7
['[Li]1[O]2[Li][O]3[Li]4[O]1[C]423'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	7
['[O][C]=[O]'] -> ['[O]=[C]=[O]']	7
['[O]=[C]=[O]'] -> ['[O][C]=[O]']	7
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][O][Li]'] -> ['[H][C]1([H])[O][C]([O][Li][O][Li])[O][C]1([H])[H]']	6
['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])[O]']	6
['[Li][O]1[Li]2[O][C]21=[O]'] -> ['[Li][O]1[Li]2[O][C]21[O]']	6
['[Li][O][C]1[O][Li][O]1'] -> ['[Li]1[O][C]2([Li][O]2)[O]1']	6
['[Li][O][C]([O])[O][Li]'] -> ['[Li][O][C]1[O][Li][O]1']	6
['[Li][O]1[Li]2[O][C]21=[O]'] -> ['[Li][O]1[Li][O][C]1=[O]']	6
['[Li]1[O]2[Li][O]3[Li][O]1[C]23'] -> ['[Li][O]1[Li][O]2[Li][O][C]12']	6
