LAMMPS data file via write_data, version 22 Jul 2025, timestep = 25000, units = real

640 atoms
4 atom types

-1.486499 33.513501 xlo xhi
-0.121501 34.878499 ylo yhi
0.0475 35.0475 zlo zhi

Masses

1 12.0107
2 1.00794
3 126.904472
4 15.9994

Atoms # charge

2 3 0.6653566413510577 2.2035986790215984 6.312099302096778 8.173396448619341 0 0 0
243 4 -0.3770919464052356 0.6767840027256454 7.5837000820747305 8.4735200942596 1 0 0
242 4 -0.3880131783342979 0.4304788776982618 5.336607398737329 7.879908511639597 1 0 0
246 1 0.423661665834234 -0.26065506710603153 6.581437784218389 8.052563509225417 1 0 0
512 4 -0.3330968149449573 5.487684436682237 0.3095454726387503 9.803583338127265 0 1 0
513 4 -0.3583793332478761 6.331814272040954 1.6192157247421979 8.05248857755166 0 1 0
5 3 0.6180543747885729 9.025069663557993 2.3232824403079957 6.7081791549768175 0 0 0
101 4 -0.3409857753852877 7.934092114770698 6.102298457314062 3.9055467658155374 0 0 0
102 4 -0.3224652632163308 9.85328811216265 6.022377275088108 5.227644759069619 0 0 0
103 4 -0.3527102364795358 9.777839004886212 4.859149008045274 3.174145276517616 0 0 0
104 1 -0.01274466117396617 7.575665584865603 6.862847551541322 5.205495609613714 0 0 0
105 1 0.02814493035729068 8.996311653344126 7.203592480725685 5.609530602399605 0 0 0
106 1 0.4409714131622238 9.219031592709129 5.614388468974066 4.047938153815604 0 0 0
107 2 0.05836852161473616 7.047017978230413 6.186456279475501 5.887653211386365 0 0 0
108 2 0.0910712335144703 6.926360874977136 7.714759899624095 5.102646265556573 0 0 0
109 2 0.0835027660306842 9.345841517414593 8.046529926864794 5.029730301440612 0 0 0
110 2 0.01695124646022291 9.051545221838404 7.560781072369296 6.652185463885871 0 0 0
301 4 -0.4014055017927948 11.532566190186753 3.3823828923720463 7.603171530461021 0 0 0
306 1 0.3134633980223934 10.966778693563887 4.530335428550928 8.293961402801992 0 0 0
302 4 -0.4462686280973154 9.559366998975715 4.79903188906655 8.28408579734731 0 0 0
303 4 -0.4376789037431557 11.724822477507422 5.039049160421479 9.382683542585745 0 0 0
28 3 0.6500482303606668 9.952669175423908 6.432031651907868 9.179583361143958 0 0 0
516 1 0.4396443225927659 6.538181602629872 0.8828582208376766 9.112818033742391 0 1 0
511 4 -0.3347199772706749 7.7931671910372 0.7369741219272841 9.643385631319612 0 1 0
388 2 0.04019428464856174 12.48448502698488 3.5713876241164577 0.8616472365196273 0 0 1
